class,shLA,elLA,shRA,elRA
Pose 1,19.40800863,161.7858832,25.02636381,171.558229
Pose 1,19.50588077,162.0021465,24.61469448,171.235667
Pose 1,19.56208781,162.1143742,24.23642158,170.999523
Pose 1,19.67364086,162.393339,23.89763401,170.6552663
Pose 1,19.95001611,162.810512,23.40582624,170.3021304
Pose 1,20.45411752,163.621306,22.45102549,169.244362
Pose 1,20.77494965,164.117246,21.98847125,168.6887327
Pose 1,21.03107038,164.2847386,21.56104454,168.1883935
Pose 1,21.31503503,164.6379804,21.22706458,167.8835224
Pose 1,21.55071318,164.8083732,21.11778071,167.8656238
Pose 1,21.82587832,164.8264123,20.58530388,167.2972256
Pose 1,22.11930914,165.0506837,19.90757612,166.9681044
Pose 1,22.34748666,165.0556248,19.55800152,166.2900004
Pose 1,22.49026155,165.0827247,19.39725013,165.9154249
Pose 1,22.4883972,165.1272766,19.40714316,165.6437543
Pose 1,22.50892639,165.1763146,19.31828451,165.4685014
Pose 1,22.51578135,165.178078,19.19301618,165.4141387
Pose 1,22.52158042,165.1835109,19.2293458,165.4581529
Pose 1,22.51075067,165.1608669,19.27109139,165.5111238
Pose 1,22.3115242,165.0833857,19.65673244,166.1816043
Pose 1,22.15020996,164.8305789,19.89910512,165.8955484
Pose 1,22.04189944,164.6611984,20.0759776,165.8074697
Pose 1,21.91062215,164.4240558,20.4229246,166.2024072
Pose 1,21.76135476,164.282351,20.59439806,166.477419
Pose 1,21.52198461,164.0835345,20.98424453,166.1185286
Pose 1,21.41650902,164.2874789,21.31659229,165.9128
Pose 1,21.31020113,164.2954051,21.70267076,166.1489458
Pose 1,21.26949815,164.2164555,21.92591704,166.4067303
Pose 1,21.21395643,164.0080346,22.04518165,166.6597403
Pose 1,21.17711125,163.8596934,22.11565294,166.8574469
Pose 1,20.87064993,163.4262335,22.60946904,167.208358
Pose 1,21.00064637,163.397897,23.23872233,167.5770459
Pose 1,21.81052923,164.1611394,24.13816691,168.3580768
Pose 1,22.45980777,164.2706332,24.81796782,168.7698822
Pose 1,24.31088128,166.54977,25.11496786,168.4063755
Pose 1,26.03917993,167.9687815,25.32838956,168.3271148
Pose 1,25.77220795,167.4567099,25.25144448,168.0007404
Pose 1,26.42084293,167.4579639,25.32451543,168.2816461
Pose 1,29.46452016,164.6843019,26.14976784,172.1379446
